name_1,date_1,text,date,date_str,name
Grant,2019-06-02,Grant was born on the 2nd of June.,2019-06-02,2nd of June,Grant
Matt,2019-06-16,Matt was born on the 16th of June.,2019-06-16,16th of June,Matt
Alex,2019-07-24,Alex was born on the 24th of July.,2019-07-24,24th of July,Alex
Kyle,2019-07-04,Kyle was born on the 4th of July.,2019-07-04,4th of July,Kyle
Maria,2019-06-19,Maria was born on the 19th of June.,2019-06-19,19th of June,Maria
Dean,2019-06-23,Dean was born on the 23rd of June.,2019-06-23,23rd of June,Dean
Joy,2019-07-29,Joy was born on the 29th of July.,2019-07-29,29th of July,Joy
Peter,2019-07-24,Peter was born on the 24th of July.,2019-07-24,24th of July,Peter
Neil,2019-07-05,Neil was born on the 5th of July.,2019-07-05,5th of July,Neil
Walker,2019-07-12,Walker was born on the 12th of July.,2019-07-12,12th of July,Walker
Emily,2019-07-26,Emily was born on the 26th of July.,2019-07-26,26th of July,Emily
Josh,2019-07-10,Josh was born on the 10th of July.,2019-07-10,10th of July,Josh
Dallas,2019-06-11,Dallas was born on the 11th of June.,2019-06-11,11th of June,Dallas
Grant,2019-07-18,Grant was born on the 18th of July.,2019-07-18,18th of July,Grant
Grant,2019-07-06,Grant was born on the 6th of July.,2019-07-06,6th of July,Grant
William,2019-06-04,William was born on the 4th of June.,2019-06-04,4th of June,William
Richard,2019-06-13,Richard was born on the 13th of June.,2019-06-13,13th of June,Richard
Rose,2019-06-13,Rose was born on the 13th of June.,2019-06-13,13th of June,Rose
Bob,2019-07-10,Bob was born on the 10th of July.,2019-07-10,10th of July,Bob
Blake,2019-07-31,Blake was born on the 31st of July.,2019-07-31,31st of July,Blake
Blake,2019-07-31,Blake was born on the 31st of July.,2019-07-31,31st of July,Blake
Steve,2019-06-15,Steve was born on the 15th of June.,2019-06-15,15th of June,Steve
Dallas,2019-06-23,Dallas was born on the 23rd of June.,2019-06-23,23rd of June,Dallas
Steve,2019-06-18,Steve was born on the 18th of June.,2019-06-18,18th of June,Steve
Rachel,2019-06-23,Rachel was born on the 23rd of June.,2019-06-23,23rd of June,Rachel
Steve,2019-06-24,Steve was born on the 24th of June.,2019-06-24,24th of June,Steve
Robert,2019-07-09,Robert was born on the 9th of July.,2019-07-09,9th of July,Robert
Charlie,2019-07-15,Charlie was born on the 15th of July.,2019-07-15,15th of July,Charlie
Michael,2019-07-07,Michael was born on the 7th of July.,2019-07-07,7th of July,Michael
Josh,2019-07-10,Josh was born on the 10th of July.,2019-07-10,10th of July,Josh
Brandon,2019-09-08,Brandon was born on the 8th of September.,2019-09-08,8th of September,Brandon
Robert,2019-09-07,Robert was born on the 7th of September.,2019-09-07,7th of September,Robert
Rose,2019-08-31,Rose was born on the 31st of August.,2019-08-31,31st of August,Rose
Rose,2019-08-31,Rose was born on the 31st of August.,2019-08-31,31st of August,Rose
Kyle,2019-08-22,Kyle was born on the 22nd of August.,2019-08-22,22nd of August,Kyle
Hunter,2019-08-13,Hunter was born on the 13th of August.,2019-08-13,13th of August,Hunter
William,2019-08-03,William was born on the 3rd of August.,2019-08-03,3rd of August,William
Ian,2019-08-06,Ian was born on the 6th of August.,2019-08-06,6th of August,Ian
Kyle,2019-08-22,Kyle was born on the 22nd of August.,2019-08-22,22nd of August,Kyle
Jason,2019-08-01,Jason was born on the 1st of August.,2019-08-01,1st of August,Jason
Robert,2019-08-09,Robert was born on the 9th of August.,2019-08-09,9th of August,Robert
Alex,2019-09-01,Alex was born on the 1st of September.,2019-09-01,1st of September,Alex
Fred,2019-08-13,Fred was born on the 13th of August.,2019-08-13,13th of August,Fred
Jerry,2019-08-29,Jerry was born on the 29th of August.,2019-08-29,29th of August,Jerry
April,2019-09-04,April was born on the 4th of September.,2019-09-04,4th of September,April
Marco,2019-08-20,Marco was born on the 20th of August.,2019-08-20,20th of August,Marco
Dean,2019-08-26,Dean was born on the 26th of August.,2019-08-26,26th of August,Dean
Emily,2019-08-01,Emily was born on the 1st of August.,2019-08-01,1st of August,Emily
Jason,2019-09-28,Jason was born on the 28th of September.,2019-09-28,28th of September,Jason
Laura,2019-08-11,Laura was born on the 11th of August.,2019-08-11,11th of August,Laura
Marco,2019-09-25,Marco was born on the 25th of September.,2019-09-25,25th of September,Marco
Blake,2019-08-14,Blake was born on the 14th of August.,2019-08-14,14th of August,Blake
Joy,2019-09-13,Joy was born on the 13th of September.,2019-09-13,13th of September,Joy
Steve,2019-08-31,Steve was born on the 31st of August.,2019-08-31,31st of August,Steve
Kevin,2019-09-10,Kevin was born on the 10th of September.,2019-09-10,10th of September,Kevin
Jason,2019-09-02,Jason was born on the 2nd of September.,2019-09-02,2nd of September,Jason
Jason,2019-09-28,Jason was born on the 28th of September.,2019-09-28,28th of September,Jason
George,2019-09-15,George was born on the 15th of September.,2019-09-15,15th of September,George
Aaron,2019-09-15,Aaron was born on the 15th of September.,2019-09-15,15th of September,Aaron
Tyler,2019-08-22,Tyler was born on the 22nd of August.,2019-08-22,22nd of August,Tyler
Laura,2019-09-12,Laura was born on the 12th of September.,2019-09-12,12th of September,Laura
Scott,2019-08-09,Scott was born on the 9th of August.,2019-08-09,9th of August,Scott
Aaron,2019-09-26,Aaron was born on the 26th of September.,2019-09-26,26th of September,Aaron
Ian,2019-09-19,Ian was born on the 19th of September.,2019-09-19,19th of September,Ian
Brandon,2019-09-21,Brandon was born on the 21st of September.,2019-09-21,21st of September,Brandon
Michael,2019-08-12,Michael was born on the 12th of August.,2019-08-12,12th of August,Michael
Alex,2019-08-07,Alex was born on the 7th of August.,2019-08-07,7th of August,Alex
Aaron,2019-09-26,Aaron was born on the 26th of September.,2019-09-26,26th of September,Aaron
William,2019-08-03,William was born on the 3rd of August.,2019-08-03,3rd of August,William
Blake,2019-08-14,Blake was born on the 14th of August.,2019-08-14,14th of August,Blake
William,2019-08-27,William was born on the 27th of August.,2019-08-27,27th of August,William
Aaron,2019-11-17,Aaron was born on the 17th of November.,2019-11-17,17th of November,Aaron
Frank,2019-10-16,Frank was born on the 16th of October.,2019-10-16,16th of October,Frank
Brandon,2019-10-02,Brandon was born on the 2nd of October.,2019-10-02,2nd of October,Brandon
Joy,2019-10-22,Joy was born on the 22nd of October.,2019-10-22,22nd of October,Joy
Alex,2019-10-07,Alex was born on the 7th of October.,2019-10-07,7th of October,Alex
Jerry,2019-11-27,Jerry was born on the 27th of November.,2019-11-27,27th of November,Jerry
Rose,2019-10-15,Rose was born on the 15th of October.,2019-10-15,15th of October,Rose
Jason,2019-11-12,Jason was born on the 12th of November.,2019-11-12,12th of November,Jason
Walker,2019-10-17,Walker was born on the 17th of October.,2019-10-17,17th of October,Walker
Walker,2019-11-04,Walker was born on the 4th of November.,2019-11-04,4th of November,Walker
Kevin,2019-11-29,Kevin was born on the 29th of November.,2019-11-29,29th of November,Kevin
Michael,2019-10-22,Michael was born on the 22nd of October.,2019-10-22,22nd of October,Michael
Connor,2019-11-04,Connor was born on the 4th of November.,2019-11-04,4th of November,Connor
Max,2019-11-29,Max was born on the 29th of November.,2019-11-29,29th of November,Max
Michael,2019-10-07,Michael was born on the 7th of October.,2019-10-07,7th of October,Michael
Marco,2019-10-25,Marco was born on the 25th of October.,2019-10-25,25th of October,Marco
Laura,2019-11-28,Laura was born on the 28th of November.,2019-11-28,28th of November,Laura
Jack,2019-10-12,Jack was born on the 12th of October.,2019-10-12,12th of October,Jack
Rachel,2019-10-16,Rachel was born on the 16th of October.,2019-10-16,16th of October,Rachel
Rose,2019-11-30,Rose was born on the 30th of November.,2019-11-30,30th of November,Rose
Jason,2019-11-02,Jason was born on the 2nd of November.,2019-11-02,2nd of November,Jason
Rose,2019-11-12,Rose was born on the 12th of November.,2019-11-12,12th of November,Rose
Walker,2019-10-04,Walker was born on the 4th of October.,2019-10-04,4th of October,Walker
John,2019-11-03,John was born on the 3rd of November.,2019-11-03,3rd of November,John
Fred,2019-11-10,Fred was born on the 10th of November.,2019-11-10,10th of November,Fred
Michael,2019-11-14,Michael was born on the 14th of November.,2019-11-14,14th of November,Michael
Andrew,2019-11-17,Andrew was born on the 17th of November.,2019-11-17,17th of November,Andrew
Ian,2019-10-06,Ian was born on the 6th of October.,2019-10-06,6th of October,Ian
Andrew,2019-11-17,Andrew was born on the 17th of November.,2019-11-17,17th of November,Andrew
Grant,2019-11-19,Grant was born on the 19th of November.,2019-11-19,19th of November,Grant
Michael,2019-10-22,Michael was born on the 22nd of October.,2019-10-22,22nd of October,Michael
Rose,2019-10-25,Rose was born on the 25th of October.,2019-10-25,25th of October,Rose
Grant,2019-11-19,Grant was born on the 19th of November.,2019-11-19,19th of November,Grant
Charlie,2019-11-29,Charlie was born on the 29th of November.,2019-11-29,29th of November,Charlie
Fred,2019-10-11,Fred was born on the 11th of October.,2019-10-11,11th of October,Fred
Brandon,2019-11-22,Brandon was born on the 22nd of November.,2019-11-22,22nd of November,Brandon
Tyler,2019-10-09,Tyler was born on the 9th of October.,2019-10-09,9th of October,Tyler
Andrew,2019-11-17,Andrew was born on the 17th of November.,2019-11-17,17th of November,Andrew
Scott,2019-11-20,Scott was born on the 20th of November.,2019-11-20,20th of November,Scott
Charlie,2019-11-29,Charlie was born on the 29th of November.,2019-11-29,29th of November,Charlie
Fred,2019-11-11,Fred was born on the 11th of November.,2019-11-11,11th of November,Fred
Charlie,2019-12-28,Charlie was born on the 28th of December.,2019-12-28,28th of December,Charlie
Grant,2019-12-06,Grant was born on the 6th of December.,2019-12-06,6th of December,Grant
George,2019-12-20,George was born on the 20th of December.,2019-12-20,20th of December,George
Maria,2019-12-04,Maria was born on the 4th of December.,2019-12-04,4th of December,Maria
Blake,2019-12-28,Blake was born on the 28th of December.,2019-12-28,28th of December,Blake
Robert,2019-12-24,Robert was born on the 24th of December.,2019-12-24,24th of December,Robert
William,2019-12-05,William was born on the 5th of December.,2019-12-05,5th of December,William
Robert,2019-12-24,Robert was born on the 24th of December.,2019-12-24,24th of December,Robert
Scott,2019-12-29,Scott was born on the 29th of December.,2019-12-29,29th of December,Scott
Kyle,2019-12-09,Kyle was born on the 9th of December.,2019-12-09,9th of December,Kyle
Alex,2019-12-02,Alex was born on the 2nd of December.,2019-12-02,2nd of December,Alex
Charlie,2019-12-09,Charlie was born on the 9th of December.,2019-12-09,9th of December,Charlie
Scott,2019-12-29,Scott was born on the 29th of December.,2019-12-29,29th of December,Scott
Steve,2019-12-04,Steve was born on the 4th of December.,2019-12-04,4th of December,Steve
Grant,2019-12-21,Grant was born on the 21st of December.,2019-12-21,21st of December,Grant
Connor,2019-12-13,Connor was born on the 13th of December.,2019-12-13,13th of December,Connor
Michael,2019-12-22,Michael was born on the 22nd of December.,2019-12-22,22nd of December,Michael
Steve,2019-12-04,Steve was born on the 4th of December.,2019-12-04,4th of December,Steve
Aaron,2019-12-01,Aaron was born on the 1st of December.,2019-12-01,1st of December,Aaron
William,2019-12-04,William was born on the 4th of December.,2019-12-04,4th of December,William
Robert,2019-12-24,Robert was born on the 24th of December.,2019-12-24,24th of December,Robert
Charlie,2019-12-28,Charlie was born on the 28th of December.,2019-12-28,28th of December,Charlie
Ian,2019-12-02,Ian was born on the 2nd of December.,2019-12-02,2nd of December,Ian
Frank,2019-12-18,Frank was born on the 18th of December.,2019-12-18,18th of December,Frank
Marco,2019-12-06,Marco was born on the 6th of December.,2019-12-06,6th of December,Marco
Scott,2019-12-08,Scott was born on the 8th of December.,2019-12-08,8th of December,Scott
Maria,2019-12-04,Maria was born on the 4th of December.,2019-12-04,4th of December,Maria
Walker,2019-12-06,Walker was born on the 6th of December.,2019-12-06,6th of December,Walker
Grant,2019-12-14,Grant was born on the 14th of December.,2019-12-14,14th of December,Grant
Grant,2019-12-24,Grant was born on the 24th of December.,2019-12-24,24th of December,Grant
George,2019-12-20,George was born on the 20th of December.,2019-12-20,20th of December,George
Michael,2019-12-22,Michael was born on the 22nd of December.,2019-12-22,22nd of December,Michael
John,2019-12-30,John was born on the 30th of December.,2019-12-30,30th of December,John
Scott,2019-12-28,Scott was born on the 28th of December.,2019-12-28,28th of December,Scott
Alice,2019-12-15,Alice was born on the 15th of December.,2019-12-15,15th of December,Alice
Grant,2019-12-21,Grant was born on the 21st of December.,2019-12-21,21st of December,Grant
Ryan,2019-12-30,Ryan was born on the 30th of December.,2019-12-30,30th of December,Ryan
Brandon,2019-12-16,Brandon was born on the 16th of December.,2019-12-16,16th of December,Brandon
John,2019-12-11,John was born on the 11th of December.,2019-12-11,11th of December,John
Scott,2019-12-18,Scott was born on the 18th of December.,2019-12-18,18th of December,Scott
Michael,2019-12-22,Michael was born on the 22nd of December.,2019-12-22,22nd of December,Michael
